time,Engine-RPM,Fault Type
6.703,740,noise
6.704,740,noise
6.705,740,noise
6.706,740,noise
6.707,746,noise
6.708,746,noise
6.709,746,noise
6.71,746,noise
6.711,746,noise
6.712,746,noise
6.713,746,noise
6.714,746,noise
6.715,746,noise
6.716,746,noise
6.717,742,noise
6.718,742,noise
6.719,742,noise
6.72,742,noise
6.721,742,noise
6.722,742,noise
6.723,742,noise
6.724,742,noise
6.725,742,noise
6.726,742,noise
6.727,742,noise
6.728,742,noise
6.729,742,noise
6.73,742,noise
6.731,742,noise
6.732,742,noise
6.733,742,noise
6.734,742,noise
6.735,742,noise
6.736,742,noise
6.737,746,noise
6.738,746,noise
6.739,746,noise
6.74,746,noise
6.741,746,noise
6.742,746,noise
6.743,746,noise
6.744,746,noise
6.745,746,noise
6.746,746,noise
6.747,741,noise
6.748,741,noise
6.749,741,noise
6.75,741,noise
6.751,741,noise
6.752,741,noise
6.753,741,noise
6.754,741,noise
6.755,741,noise
6.756,741,noise
6.757,744,noise
6.758,744,noise
6.759,744,noise
6.76,744,noise
6.761,744,noise
6.762,744,noise
6.763,744,noise
6.764,744,noise
6.765,744,noise
6.766,744,noise
6.767,745,noise
6.768,745,noise
6.769,745,noise
6.77,745,noise
6.771,745,noise
6.772,745,noise
6.773,745,noise
6.774,745,noise
6.775,745,noise
6.776,745,noise
6.777,741,noise
6.778,741,noise
6.779,741,noise
6.78,741,noise
6.781,741,noise
6.782,741,noise
6.783,741,noise
6.784,741,noise
6.785,741,noise
6.786,741,noise
6.787,746,noise
6.788,746,noise
6.789,746,noise
6.79,746,noise
6.791,746,noise
6.792,746,noise
6.793,746,noise
6.794,746,noise
6.795,746,noise
6.796,746,noise
6.797,744,noise
6.798,744,noise
6.799,744,noise
6.8,744,noise
6.801,744,noise
6.802,744,noise
6.803,744,noise
6.804,744,noise
6.805,744,noise
6.806,744,noise
6.807,743,noise
6.808,743,noise
6.809,743,noise
6.81,743,noise
6.811,743,noise
6.812,743,noise
6.813,743,noise
6.814,743,noise
6.815,743,noise
6.816,743,noise
6.817,747,noise
6.818,747,noise
6.819,747,noise
6.82,747,noise
6.821,747,noise
6.822,747,noise
6.823,747,noise
6.824,747,noise
6.825,747,noise
6.826,747,noise
6.827,742,noise
6.828,742,noise
6.829,742,noise
6.83,742,noise
6.831,742,noise
6.832,742,noise
6.833,742,noise
6.834,742,noise
6.835,742,noise
6.836,742,noise
6.837,745,noise
6.838,745,noise
6.839,745,noise
6.84,745,noise
6.841,745,noise
6.842,745,noise
6.843,745,noise
6.844,745,noise
6.845,745,noise
6.846,745,noise
6.847,746,noise
6.848,746,noise
6.849,746,noise
6.85,746,noise
6.851,746,noise
6.852,746,noise
6.853,746,noise
6.854,746,noise
6.855,746,noise
6.856,746,noise
6.857,742,noise
6.858,742,noise
6.859,742,noise
6.86,742,noise
6.861,742,noise
6.862,742,noise
6.863,742,noise
6.864,742,noise
6.865,742,noise
6.866,742,noise
6.867,747,noise
6.868,747,noise
6.869,747,noise
6.87,747,noise
6.871,747,noise
6.872,747,noise
6.873,747,noise
6.874,747,noise
6.875,747,noise
6.876,747,noise
6.877,744,noise
6.878,744,noise
6.879,744,noise
6.88,744,noise
6.881,744,noise
6.882,744,noise
6.883,744,noise
6.884,744,noise
6.885,744,noise
6.886,744,noise
6.887,743,noise
6.888,743,noise
6.889,743,noise
6.89,743,noise
6.891,743,noise
6.892,743,noise
6.893,743,noise
6.894,743,noise
6.895,743,noise
6.896,743,noise
6.897,747,noise
6.898,747,noise
6.899,747,noise
6.9,747,noise
6.901,747,noise
6.902,747,noise
6.903,747,noise
6.904,747,noise
6.905,747,noise
6.906,747,noise
6.907,742,noise
6.908,742,noise
6.909,742,noise
6.91,742,noise
6.911,742,noise
6.912,742,noise
6.913,742,noise
6.914,742,noise
6.915,742,noise
6.916,742,noise
6.917,745,noise
6.918,745,noise
6.919,745,noise
6.92,745,noise
6.921,745,noise
6.922,745,noise
6.923,745,noise
6.924,745,noise
6.925,745,noise
6.926,745,noise
6.927,746,noise
6.928,746,noise
6.929,746,noise
6.93,746,noise
6.931,746,noise
6.932,746,noise
6.933,746,noise
6.934,746,noise
6.935,746,noise
6.936,746,noise
6.937,742,noise
6.938,742,noise
6.939,742,noise
6.94,742,noise
6.941,742,noise
6.942,742,noise
6.943,742,noise
6.944,742,noise
6.945,742,noise
6.946,742,noise
6.947,747,noise
6.948,747,noise
6.949,747,noise
6.95,747,noise
6.951,747,noise
6.952,747,noise
6.953,747,noise
6.954,747,noise
6.955,747,noise
6.956,747,noise
6.957,745,noise
6.958,745,noise
6.959,745,noise
6.96,745,noise
6.961,745,noise
6.962,745,noise
6.963,745,noise
6.964,745,noise
6.965,745,noise
6.966,745,noise
6.967,743,noise
6.968,743,noise
6.969,743,noise
6.97,743,noise
6.971,743,noise
6.972,743,noise
6.973,743,noise
6.974,743,noise
6.975,743,noise
6.976,743,noise
6.977,748,noise
6.978,748,noise
6.979,748,noise
6.98,748,noise
6.981,748,noise
6.982,748,noise
6.983,748,noise
6.984,748,noise
6.985,748,noise
6.986,748,noise
6.987,743,noise
6.988,743,noise
6.989,743,noise
6.99,743,noise
6.991,743,noise
6.992,743,noise
6.993,743,noise
6.994,743,noise
6.995,743,noise
6.996,743,noise
6.997,745,noise
6.998,745,noise
6.999,745,noise
7.0,745,noise
7.001,745,noise
7.002,745,noise
7.003,745,noise
7.004,745,noise
7.005,745,noise
7.006,745,noise
7.007,747,noise
7.008,747,noise
7.009,747,noise
7.01,747,noise
7.011,747,noise
7.012,747,noise
7.013,747,noise
7.014,747,noise
7.015,747,noise
7.016,747,noise
7.017,743,noise
7.018,743,noise
7.019,743,noise
7.02,743,noise
7.021,743,noise
7.022,743,noise
7.023,743,noise
7.024,743,noise
7.025,743,noise
7.026,743,noise
7.027,747,noise
7.028,747,noise
7.029,747,noise
7.03,747,noise
7.031,747,noise
7.032,747,noise
7.033,747,noise
7.034,747,noise
7.035,747,noise
7.036,747,noise
7.037,746,noise
7.038,746,noise
7.039,746,noise
7.04,746,noise
7.041,746,noise
7.042,746,noise
7.043,746,noise
7.044,746,noise
7.045,746,noise
7.046,746,noise
7.047,744,noise
7.048,744,noise
7.049,744,noise
7.05,744,noise
7.051,744,noise
7.052,744,noise
7.053,744,noise
7.054,744,noise
7.055,744,noise
7.056,744,noise
7.057,749,noise
7.058,749,noise
7.059,749,noise
7.06,749,noise
7.061,749,noise
7.062,749,noise
7.063,749,noise
7.064,749,noise
7.065,749,noise
7.066,749,noise
7.067,744,noise
7.068,744,noise
7.069,744,noise
7.07,744,noise
7.071,744,noise
7.072,744,noise
7.073,744,noise
7.074,744,noise
7.075,744,noise
7.076,744,noise
7.077,764,noise
7.078,764,noise
7.079,764,noise
7.08,764,noise
7.081,764,noise
7.082,764,noise
7.083,764,noise
7.084,764,noise
7.085,764,noise
7.086,764,noise
7.087,782,noise
7.088,782,noise
7.089,782,noise
7.09,782,noise
7.091,782,noise
7.092,782,noise
7.093,782,noise
7.094,782,noise
7.095,782,noise
7.096,782,noise
7.097,783,noise
