time,Engine-RPM,Fault Type
3.554,794,offset
3.555,799,offset
3.556,799,offset
3.557,799,offset
3.558,799,offset
3.559,799,offset
3.56,799,offset
3.561,799,offset
3.562,799,offset
3.563,799,offset
3.564,799,offset
3.565,797,offset
3.566,797,offset
3.567,797,offset
3.568,797,offset
3.569,797,offset
3.57,797,offset
3.571,797,offset
3.572,797,offset
3.573,797,offset
3.574,797,offset
3.575,798,offset
3.576,798,offset
3.577,798,offset
3.578,798,offset
3.579,798,offset
3.58,798,offset
3.581,798,offset
3.582,798,offset
3.583,798,offset
3.584,798,offset
3.585,801,offset
3.586,801,offset
3.587,801,offset
3.588,801,offset
3.589,801,offset
3.59,801,offset
3.591,801,offset
3.592,801,offset
3.593,801,offset
3.594,801,offset
3.595,797,offset
3.596,797,offset
3.597,797,offset
3.598,797,offset
3.599,797,offset
3.6,797,offset
3.601,797,offset
3.602,797,offset
3.603,797,offset
3.604,797,offset
3.605,802,offset
3.606,802,offset
3.607,802,offset
3.608,802,offset
3.609,802,offset
3.61,802,offset
3.611,802,offset
3.612,802,offset
3.613,802,offset
3.614,802,offset
3.615,800,offset
3.616,800,offset
3.617,800,offset
3.618,800,offset
3.619,800,offset
3.62,800,offset
3.621,800,offset
3.622,800,offset
3.623,800,offset
3.624,800,offset
3.625,800,offset
3.626,800,offset
3.627,800,offset
3.628,800,offset
3.629,800,offset
3.63,800,offset
3.631,800,offset
3.632,800,offset
3.633,800,offset
3.634,800,offset
3.635,803,offset
3.636,803,offset
3.637,803,offset
3.638,803,offset
3.639,803,offset
3.64,803,offset
3.641,803,offset
3.642,803,offset
3.643,803,offset
3.644,803,offset
3.645,799,offset
3.646,799,offset
3.647,799,offset
3.648,799,offset
3.649,799,offset
3.65,799,offset
3.651,799,offset
3.652,799,offset
3.653,799,offset
3.654,799,offset
3.655,804,offset
3.656,804,offset
3.657,804,offset
3.658,804,offset
3.659,804,offset
3.66,804,offset
3.661,804,offset
3.662,804,offset
3.663,804,offset
3.664,804,offset
3.665,801,offset
3.666,801,offset
3.667,801,offset
3.668,801,offset
3.669,801,offset
3.67,801,offset
3.671,801,offset
3.672,801,offset
3.673,801,offset
3.674,801,offset
3.675,801,offset
3.676,801,offset
3.677,801,offset
3.678,801,offset
3.679,801,offset
3.68,801,offset
3.681,801,offset
3.682,801,offset
3.683,801,offset
3.684,801,offset
3.685,804,offset
3.686,804,offset
3.687,804,offset
3.688,804,offset
3.689,804,offset
3.69,804,offset
3.691,804,offset
3.692,804,offset
3.693,804,offset
3.694,804,offset
3.695,800,offset
3.696,800,offset
3.697,800,offset
3.698,800,offset
3.699,800,offset
3.7,800,offset
3.701,800,offset
3.702,800,offset
3.703,800,offset
3.704,800,offset
3.705,805,offset
3.706,805,offset
3.707,805,offset
3.708,805,offset
3.709,805,offset
3.71,805,offset
3.711,805,offset
3.712,805,offset
3.713,805,offset
3.714,805,offset
3.715,802,offset
3.716,802,offset
3.717,802,offset
3.718,802,offset
3.719,802,offset
3.72,802,offset
3.721,802,offset
3.722,802,offset
3.723,802,offset
3.724,802,offset
3.725,802,offset
3.726,802,offset
3.727,802,offset
3.728,802,offset
3.729,802,offset
3.73,802,offset
3.731,802,offset
3.732,802,offset
3.733,802,offset
3.734,802,offset
3.735,805,offset
3.736,805,offset
3.737,805,offset
3.738,805,offset
3.739,805,offset
3.74,805,offset
3.741,805,offset
3.742,805,offset
3.743,805,offset
3.744,805,offset
3.745,801,offset
3.746,801,offset
3.747,801,offset
3.748,801,offset
3.749,801,offset
3.75,801,offset
3.751,801,offset
3.752,801,offset
3.753,801,offset
3.754,801,offset
3.755,806,offset
3.756,806,offset
3.757,806,offset
3.758,806,offset
3.759,806,offset
3.76,806,offset
3.761,806,offset
3.762,806,offset
3.763,806,offset
3.764,806,offset
3.765,803,offset
3.766,803,offset
3.767,803,offset
3.768,803,offset
3.769,803,offset
3.77,803,offset
3.771,803,offset
3.772,803,offset
3.773,803,offset
3.774,803,offset
3.775,803,offset
3.776,803,offset
3.777,803,offset
3.778,803,offset
3.779,803,offset
3.78,803,offset
3.781,803,offset
3.782,803,offset
3.783,803,offset
3.784,803,offset
3.785,806,offset
3.786,806,offset
3.787,806,offset
3.788,806,offset
3.789,806,offset
3.79,806,offset
3.791,806,offset
3.792,806,offset
3.793,806,offset
3.794,806,offset
3.795,801,offset
3.796,801,offset
3.797,801,offset
3.798,801,offset
3.799,801,offset
3.8,801,offset
3.801,801,offset
3.802,801,offset
3.803,801,offset
3.804,801,offset
3.805,807,offset
3.806,807,offset
3.807,807,offset
3.808,807,offset
3.809,807,offset
3.81,807,offset
3.811,807,offset
3.812,807,offset
3.813,807,offset
3.814,807,offset
3.815,803,offset
3.816,803,offset
3.817,803,offset
3.818,803,offset
3.819,803,offset
3.82,803,offset
3.821,803,offset
3.822,803,offset
3.823,803,offset
3.824,803,offset
3.825,804,offset
3.826,804,offset
3.827,804,offset
3.828,804,offset
3.829,804,offset
3.83,804,offset
3.831,804,offset
3.832,804,offset
3.833,804,offset
3.834,804,offset
3.835,806,offset
3.836,806,offset
3.837,806,offset
3.838,806,offset
3.839,806,offset
3.84,806,offset
3.841,806,offset
3.842,806,offset
3.843,806,offset
3.844,806,offset
3.845,803,offset
3.846,803,offset
3.847,803,offset
3.848,803,offset
3.849,803,offset
3.85,803,offset
3.851,803,offset
3.852,803,offset
3.853,803,offset
3.854,803,offset
3.855,808,offset
3.856,808,offset
3.857,808,offset
3.858,808,offset
3.859,808,offset
3.86,808,offset
3.861,808,offset
3.862,808,offset
3.863,808,offset
3.864,808,offset
